iter	Logloss
0	0.4963129342
1	0.458566574
2	0.4374248352
3	0.4239632259
4	0.4248811871
5	0.3934261108
6	0.3730987831
7	0.3575073047
8	0.3867218046
9	0.3502097868
10	0.3183266509
11	0.2925753983
12	0.3561789413
13	0.3099524969
14	0.2575136025
15	0.2178067597
16	0.3347981273
17	0.2784719837
18	0.2120366991
19	0.1650186995
20	0.3083496806
21	0.247883765
22	0.1590776381
23	0.1156577355
24	0.3002869694
25	0.2137633896
26	0.128666097
